epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,134.481,0.78323,0.64083,1.23098,0.73114,0.66667,0.71962,0.4238,1.61916,1.32683,2.3448,0.0011882,0.0011882,0.0011882
43,137.643,0.77633,0.63732,1.24139,0.76996,0.7439,0.78559,0.45453,1.57327,1.19658,2.14368,0.0011684,0.0011684,0.0011684
44,140.765,0.75185,0.62503,1.24786,0.64643,0.77202,0.78247,0.42372,1.35193,1.23421,1.98469,0.0011486,0.0011486,0.0011486
45,143.889,0.70996,0.59018,1.18549,0.65365,0.67109,0.66203,0.3529,1.59968,1.38417,2.40305,0.0011288,0.0011288,0.0011288
46,147.056,0.72372,0.59297,1.21814,0.89968,0.79724,0.85353,0.56814,1.2346,1.23273,2.02756,0.001109,0.001109,0.001109
47,150.223,0.71669,0.5645,1.2099,0.79848,0.70454,0.72907,0.44363,1.51996,1.21598,2.34065,0.0010892,0.0010892,0.0010892
48,153.397,0.74016,0.58599,1.23568,0.76974,0.743,0.70391,0.38389,1.70833,1.30013,2.64818,0.0010694,0.0010694,0.0010694
49,156.537,0.69645,0.56526,1.19295,0.74935,0.73084,0.74837,0.41428,1.67917,1.23324,2.51424,0.0010496,0.0010496,0.0010496
50,159.689,0.71616,0.54159,1.20997,0.63376,0.76919,0.6648,0.34837,1.42544,1.44092,2.09366,0.0010298,0.0010298,0.0010298
51,162.827,0.72837,0.56619,1.21392,0.79298,0.77778,0.73735,0.36447,1.37725,1.29407,2.13449,0.00101,0.00101,0.00101
52,165.957,0.723,0.54878,1.21389,0.70764,0.75308,0.79986,0.5199,1.05295,1.17323,1.66891,0.0009902,0.0009902,0.0009902
53,169.107,0.67114,0.52972,1.18531,0.73949,0.8,0.77966,0.49863,1.24364,1.21887,1.88442,0.0009704,0.0009704,0.0009704
54,172.31,0.70699,0.55951,1.19776,0.76172,0.82222,0.80401,0.56991,1.23998,1.13315,1.88492,0.0009506,0.0009506,0.0009506
55,175.454,0.69379,0.5431,1.20916,0.8072,0.93041,0.8931,0.62179,0.97899,1.02314,1.56914,0.0009308,0.0009308,0.0009308
56,178.611,0.66633,0.49925,1.1672,0.75684,0.86667,0.87364,0.6353,1.14132,0.9908,1.69837,0.000911,0.000911,0.000911
